system:index,Fecha,Hora,Temperatura,.geo
174,2022-04-30,,2.1399999999999864,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2022-04-30,,17.04000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2022-05-01,,16.19999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2022-05-01,,17.54000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2022-05-02,,17.350000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2022-05-02,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2022-05-03,,17.05000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2022-05-03,,18.110000000000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2022-05-04,,15.470000000000027,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2022-05-04,,-2.0299999999999727,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2022-05-05,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2022-05-05,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2022-05-06,,17.230000000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2022-05-06,,17.149999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2022-05-07,,17.649999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2022-05-07,,17.529999999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2022-05-08,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2022-05-08,,17.939999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2022-05-09,,16.29000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2022-05-09,,17.30000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2022-05-10,,5.060000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2022-05-10,,17.730000000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2022-05-11,,16.420000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2022-05-11,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2022-05-12,,16.120000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2022-05-12,,18.74000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2022-05-13,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2022-05-13,,17.930000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2022-05-14,,-0.9599999999999795,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2022-05-14,,3.6999999999999886,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2022-05-15,,6.639999999999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2022-05-15,,17.20999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2022-05-16,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2022-05-16,,-2.240000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2022-05-17,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2022-05-17,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2022-05-18,,18.910000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2022-05-18,,-1.910000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2022-05-19,,-0.5299999999999727,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2022-05-19,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2022-05-20,,17.75999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2022-05-20,,18.470000000000027,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2022-05-21,,15.629999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2022-05-21,,16.230000000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2022-05-22,,14.949999999999989,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2022-05-22,,17.55000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2022-05-23,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2022-05-23,,17.569999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2022-05-24,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2022-05-24,,17.20999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2022-05-25,,16.649999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2022-05-25,,16.620000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2022-05-26,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2022-05-26,,-1.2200000000000273,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2022-05-27,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2022-05-27,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2022-05-28,,4.860000000000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2022-05-28,,-2.269999999999982,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2022-05-29,,15.350000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2022-05-29,,18.069999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2022-05-30,,3.319999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2022-05-30,,17.110000000000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2022-05-31,,5.189999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2022-05-31,,17.329999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2022-06-01,,17.649999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2022-06-01,,17.350000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2022-06-02,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2022-06-02,,1.509999999999991,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2022-06-03,,5.4599999999999795,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2022-06-03,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2022-06-04,,-2.9700000000000273,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2022-06-04,,-0.2699999999999818,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2022-06-05,,11.220000000000027,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2022-06-05,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2022-06-06,,13.800000000000011,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2022-06-06,,17.910000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2022-06-07,,15.089999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2022-06-07,,14.350000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2022-06-08,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2022-06-08,,17.779999999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2022-06-09,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2022-06-09,,17.910000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2022-06-10,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2022-06-10,,17.379999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2022-06-11,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2022-06-11,,15.420000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2022-06-12,,14.100000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,2022-06-12,,16.829999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2022-06-13,,15.670000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2022-06-13,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2022-06-14,,10.259999999999991,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2022-06-14,,20.689999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
